Revision ID,Page ID,Timestamp,Is Minor,Revision Size (Bytes),Revision Size (Words)
2551,197,2024-04-30 19:30:19,True,6,0
2548,197,2024-04-26 23:49:56,True,-306,-53
2532,197,2024-04-21 21:00:15,False,5,2
2083,197,2024-01-02 16:56:51,True,3,0
1611,197,2023-11-03 21:23:05,True,4,0
1610,197,2023-11-03 21:20:49,True,542,94
1464,197,2023-09-06 12:52:52,False,-4,0
1402,197,2023-08-26 21:47:21,True,20,0
1292,197,2023-08-18 20:46:19,True,43,0
1170,197,2023-08-10 00:08:03,True,-65,-13
1169,197,2023-08-09 23:56:47,True,-16,-3
1148,197,2023-08-07 21:09:56,True,-1,0
1147,197,2023-08-07 19:05:23,True,1,0
1108,197,2023-07-22 02:52:17,True,-1,0
1107,197,2023-07-22 02:50:35,True,-1,0
1106,197,2023-07-22 02:50:07,True,33,0
1105,197,2023-07-22 02:49:33,True,-31,-18
1021,197,2023-06-16 01:40:14,True,-1,0
1001,197,2023-06-01 23:45:14,True,136,18
990,197,2023-06-01 11:47:14,True,20,0
829,197,2023-05-16 22:13:02,True,-18,0
808,197,2023-05-16 01:57:33,True,71,0
805,197,2023-05-16 01:44:52,True,4,0
767,197,2023-05-15 22:54:20,True,-38,-5
705,197,2023-05-15 22:30:59,True,73,2
694,197,2023-05-15 21:24:15,True,18,0
692,197,2023-05-15 21:18:33,True,30,0
691,197,2023-05-15 21:16:49,False,-30,0
689,197,2023-05-15 21:12:19,False,30,0
680,197,2023-05-15 20:53:27,False,15,0
663,197,2023-05-15 20:20:49,False,861,66
659,197,2023-05-15 20:16:45,False,28829,4447
2156,200,2024-01-09 21:01:35,False,666,76
1893,200,2023-12-22 23:08:03,True,0,0
1521,200,2023-09-18 17:33:49,True,521,81
1307,200,2023-08-18 21:23:45,True,41,0
1217,200,2023-08-14 23:12:45,True,513,84
1110,200,2023-07-24 02:01:10,True,235,45
1109,200,2023-07-24 01:59:06,True,19,3
1091,200,2023-07-22 02:31:31,True,33,0
1086,200,2023-07-19 20:57:19,False,1185,154
1075,200,2023-07-10 02:48:11,True,26,0
975,200,2023-05-29 21:11:20,True,218,10
908,200,2023-05-18 23:39:01,False,115,32
845,200,2023-05-16 23:32:25,True,-36,-3
678,200,2023-05-15 20:53:03,False,10,0
675,200,2023-05-15 20:43:37,False,9701,1535
1892,201,2023-12-22 23:07:10,True,1,0
1308,201,2023-08-18 21:23:59,True,41,0
1218,201,2023-08-14 23:16:52,True,-218,-53
1092,201,2023-07-22 02:31:58,True,33,0
1077,201,2023-07-10 02:49:45,True,25,0
918,201,2023-05-19 15:58:52,True,-1,0
917,201,2023-05-19 15:57:55,True,6,-1
912,201,2023-05-19 00:19:17,True,-1,1
911,201,2023-05-19 00:12:47,False,213,10
846,201,2023-05-16 23:32:46,True,-22,-3
681,201,2023-05-15 20:56:16,False,2,-1
679,201,2023-05-15 20:53:15,False,-46,2
677,201,2023-05-15 20:50:33,False,5106,823
3382,205,2025-05-09 21:53:48,True,-2,0
2602,205,2024-05-30 11:23:41,True,283,44
2601,205,2024-05-30 10:58:33,True,26,7
2579,205,2024-05-22 21:44:45,True,-40,-3
2462,205,2024-03-28 22:27:50,True,936,156
2441,205,2024-03-10 00:08:22,True,95,4
2437,205,2024-03-05 00:09:49,True,159,23
1409,205,2023-08-27 13:35:02,True,-241,-35
1408,205,2023-08-27 13:33:01,True,171,27
1309,205,2023-08-18 21:24:11,True,43,0
930,205,2023-05-22 21:21:03,False,236,32
913,205,2023-05-19 00:42:33,False,939,184
807,205,2023-05-16 01:54:25,True,5,0
793,205,2023-05-15 23:17:09,False,1238,164
790,205,2023-05-15 23:04:40,True,-12,0
789,205,2023-05-15 23:03:23,True,-76,0
788,205,2023-05-15 23:00:57,False,98,18
787,205,2023-05-15 22:58:25,True,-22,-2
698,205,2023-05-15 22:00:04,False,9537,1408
3383,206,2025-05-09 21:55:38,True,38,5
2565,206,2024-05-10 12:45:39,True,-8,0
2461,206,2024-03-28 22:27:45,True,-147,-8
2097,206,2024-01-04 23:20:27,True,-209,-30
2096,206,2024-01-04 23:18:46,True,-355,-60
1306,206,2023-08-18 21:23:31,True,43,0
973,206,2023-05-29 13:43:24,True,101,0
914,206,2023-05-19 00:43:35,True,-252,-23
792,206,2023-05-15 23:07:18,True,-170,-30
791,206,2023-05-15 23:06:31,True,-30,-2
786,206,2023-05-15 22:58:02,True,-18,-2
701,206,2023-05-15 22:23:40,True,0,0
700,206,2023-05-15 22:08:40,True,3,0
699,206,2023-05-15 22:06:19,False,13995,2159
3381,207,2025-05-09 21:53:19,True,-9,0
3380,207,2025-05-09 21:52:34,True,65,1
3280,207,2025-04-13 00:18:09,True,-72,-10
3279,207,2025-04-13 00:17:01,True,178,30
3063,207,2024-09-25 15:54:38,True,-40,-7
3028,207,2024-09-04 22:44:11,True,144,21
3027,207,2024-09-04 22:25:18,True,18,2
3026,207,2024-09-04 19:34:45,True,48,1
2455,207,2024-03-26 22:17:50,True,-7,-2
2444,207,2024-03-10 16:31:49,True,4,0
2289,207,2024-01-28 23:53:00,True,-7,-1
2262,207,2024-01-23 01:24:24,False,-526,-91
